2026-02-24T14:40:22 - Inicio de reorganizaciÃ³n. Apply=True
2026-02-24T14:40:22 - Crear dir: sistemas/horas_paradas/api
2026-02-24T14:40:22 - Crear dir: sistemas/requerimientos/api
2026-02-24T14:40:22 - Crear dir: sistemas/horno_termico/api
2026-02-24T14:40:22 - Crear dir: sistemas/mantenimiento_accesos/api
2026-02-24T14:40:22 - Crear dir: shared
2026-02-24T14:40:22 - Crear dir: public
2026-02-24T14:40:22 - Crear dir: assets
2026-02-24T14:40:22 - Directorio backup creado: C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\acceso.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\acceso.php
2026-02-24T14:40:22 - Movido: acceso.php -> sistemas/horas_paradas/acceso.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\acceso.js -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\acceso.js
2026-02-24T14:40:22 - Movido: acceso.js -> sistemas/horas_paradas/acceso.js
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\acceso.css -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\acceso.css
2026-02-24T14:40:22 - Movido: acceso.css -> sistemas/horas_paradas/acceso.css
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\registros.html -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\registros.html
2026-02-24T14:40:22 - Movido: registros.html -> sistemas/horas_paradas/registros.html
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\registros.js -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\registros.js
2026-02-24T14:40:22 - Movido: registros.js -> sistemas/horas_paradas/registros.js
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\registrosp.html -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\registrosp.html
2026-02-24T14:40:22 - Movido: registrosp.html -> sistemas/horas_paradas/registrosp.html
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\registrosp.js -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\registrosp.js
2026-02-24T14:40:22 - Movido: registrosp.js -> sistemas/horas_paradas/registrosp.js
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\resumen.html -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\resumen.html
2026-02-24T14:40:22 - Movido: resumen.html -> sistemas/horas_paradas/resumen.html
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\resumen.js -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\resumen.js
2026-02-24T14:40:22 - Movido: resumen.js -> sistemas/horas_paradas/resumen.js
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\reporte.html -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\reporte.html
2026-02-24T14:40:22 - Movido: reporte.html -> sistemas/horas_paradas/reporte.html
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\reporte.js -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\reporte.js
2026-02-24T14:40:22 - Movido: reporte.js -> sistemas/horas_paradas/reporte.js
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\reporteria.html -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\reporteria.html
2026-02-24T14:40:22 - Movido: reporteria.html -> sistemas/horas_paradas/reporteria.html
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\reporteria.js -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\reporteria.js
